Platform,Title,Company,Budget,Link,Image_Path
Guru,Software Development,J Consulting,$50/hr   ·   Starting at $200,https://www.guru.com/service/software-development/united-states/texas/irving/1090,image2/service_12.jpg
Guru,Web Development,NIX-agency,"$45/hr   ·   Starting at $1,000",https://www.guru.com/service/web-development/israel/tel-aviv/kfar-saba/1599,image2/service_13.jpg
Guru,Web Application Development,Flexsin Technologies,$12/hr   ·   Starting at $500,https://www.guru.com/service/web-application-development/india/uttar-pradesh/noida/10982,image2/service_14.jpg
Guru,Mobile App Developer,George Borobar,$70/hr   ·   Starting at $500,https://www.guru.com/service/mobile-app-developer/united-states/nevada/las-vegas/5000303,image2/service_15.jpg
Guru,Custom WordPress Websites | Plugins,Amazon Softwares,$10/hr   ·   Starting at $250,https://www.guru.com/service/custom-wordpress-websites-plugins/india/delhi/new-delhi/3872377,image2/service_16.jpg
Guru,Android Productivity Application,Kiro Jordanov,"$45/hr   ·   Starting at $5,000",https://www.guru.com/service/android-productivity-application/macedonia/stip/shtip/5181908,image2/service_17.jpg
Guru,Mobile app development service,CAZIER LTD,"$500/hr   ·   Starting at $7,500",https://www.guru.com/service/mobile-app-development-service/united-kingdom/england/london/5365960,image2/service_18.jpg
Guru,Senior JavaScript Engineer,Ervin Abliamitov,"$60/hr   ·   Starting at $2,000",https://www.guru.com/service/senior-javascript-engineer/ukraine/kiev/kiev/5364906,image2/service_19.jpg
Guru,React & Node.js SaaS Development,Brandon Washington 1,$70/hr   ·   Starting at $500,https://www.guru.com/service/react-nodejs-saas-development/united-states/arkansas/conway/5609183,image2/service_20.jpg
Guru,SharePoint Development Services,Treta Infotech Private Limited,$30/hr   ·   Starting at $30,https://www.guru.com/service/sharepoint-development-services/india/gujarat/surat/4058449,image2/service_21.jpg
Guru,Expert Web Designer & Certified CyberSec,SA-PC-LOUVAIN,$199/hr   ·   Starting at $500,https://www.guru.com/service/expert-web-designer-certified-cybersec/united-kingdom/england/ilford/4912587,image2/service_22.jpg
Guru,"Internet Security Engineer, CyberSec",BULLMAN Information Technology,"$250/hr   ·   Starting at $1,000",https://www.guru.com/service/internet-security-engineer-cybersec/united-kingdom/england/upminster/5124840,image2/service_23.jpg
Guru,Medical Billing Software Development,Jason Grover,$67/hr   ·   Starting at $300,https://www.guru.com/service/medical-billing-software-development/united-states/utah/ogden/5241498,image2/service_24.jpg
Guru,Software Engineer,Erik Amaru Ortiz,$35/hr   ·   Starting at $35,https://www.guru.com/service/software-engineer/ecuador/pichincha/quito/3587855,image2/service_25.jpg
Guru,AI & Generative AI Solutions,Crest Infosystems Pvt. Ltd.,"$20/hr   ·   Starting at $1,000",https://www.guru.com/service/ai-generative-ai-solutions/india/gujarat/surat/5364958,image2/service_26.jpg
Guru,Data Mining and Visualization,Muhammad Abdullah Akmal,$40/hr   ·   Starting at $500,https://www.guru.com/service/data-mining-and-visualization/united-kingdom/reading/lahore/4297720,image2/service_27.jpg
Guru,Senior .Net Developer,DotnetSkills Mykhailo Nohas,$55/hr   ·   Starting at $130,https://www.guru.com/service/senior-net-developer/poland/podkarpackie/rzeszow/5421488,image2/service_28.jpg
Guru,"Python Django, Flask backend Development",YongjinTian,$50/hr   ·   Starting at $500,https://www.guru.com/service/python-django-flask-backend-development/china/liaoning/shenyang/4259051,image2/service_29.jpg
Guru,Full Stack Development,Václav Plachejda,"$32/hr   ·   Starting at $1,000",https://www.guru.com/service/full-stack-development/czech-republic/hlavni-mesto-praha/praha/5457627,image2/service_30.jpg
Guru,Web development,sakthi.guru,$50/hr   ·   Starting at $250,https://www.guru.com/service/web-development/united-states/north-carolina/morrisville/3550863,image2/service_31.jpg
Guru,PHP Developing,Dmitry Harbatsevich,$20/hr   ·   Starting at $100,https://www.guru.com/service/php-developing/poland/pomorskie/gdansk/4303820,image2/service_31.jpg
Guru,JAVA / Spring boot,Yi Long,"$35/hr   ·   Starting at $1,000",https://www.guru.com/service/java-spring-boot/china/liaoning/shenyang/4328174,image2/service_32.jpg
Guru,Windows Server Support and Maintenance,Jose Angel Rivera,$20/hr   ·   Starting at $25,https://www.guru.com/service/windows-server-support-and-maintenance/dominican-republic/distrito-nacional/santo-domingo/3725393,image2/service_33.jpg
Guru,React Native/ionic/Flutter Hybrid Mobile,Li G,"$50/hr   ·   Starting at $1,000",https://www.guru.com/service/react-native-ionic-flutter-hybrid-mobile/china/liaoning/shenyang/4263120,image2/service_34.jpg
Guru,Mobile App Development,BR Solutions Pvt. Ltd.- App experts,$16/hr   ·   Starting at $500,https://www.guru.com/service/mobile-app-development/india/delhi/new-delhi/1848581,image2/service_35.jpg
Guru,Senior Netsuite Developer,Ching Yi Lin,$89/hr   ·   Starting at $89,https://www.guru.com/service/senior-netsuite-developer/united-states/texas/plano/5018446,image2/service_36.jpg
Guru,Web Development,Ihor Hodzhal,$21/hr   ·   Starting at $300,https://www.guru.com/service/web-development/ukraine/rivnenska-oblast/ostroh/5437013,image2/service_37.jpg
Guru,Full-Stack Web App Development,XiaoYu Luan,$25/hr   ·   Starting at $400,https://www.guru.com/service/full-stack-web-app-development/china/liaoning/anshan/5655741,image2/service_38.jpg
Guru,Automated Software Testing,Mario Arriaga,$80/hr   ·   Starting at $500,https://www.guru.com/service/automated-software-testing/mexico/puebla/san-andres-cholula/4627584,image2/service_38.jpg
Guru,Electrical Engineer,Zachary Hu,$70/hr   ·   Starting at $500,https://www.guru.com/service/electrical-engineer/united-states/arizona/glendale/5545259,image2/service_39.jpg
Guru,Paid and Organic Mobile Marketing,Martin Borovski,"$30/hr   ·   Starting at $1,000",https://www.guru.com/service/paid-and-organic-mobile-marketing/macedonia/veles/veles/5526052,image2/service_40.jpg
Guru,Custom software development services AI,Merve.Atmaca.IT,"$500/hr   ·   Starting at $5,000",https://www.guru.com/service/custom-software-development-services-ai/united-arab-emirates/dubai/dubai/5526944,image2/service_41.jpg
Guru,Data Entry | Data Processing,Tinkogroup,$10/hr   ·   Starting at $120,https://www.guru.com/service/data-entry-data-processing/ukraine/poltavs-ka-oblast-/poltava/3655874,image2/service_42.jpg
Guru,Data Scientist,Arsalan Younus,$25/hr   ·   Starting at $500,https://www.guru.com/service/data-scientist/pakistan/punjab/faisalabad/4332147,image2/service_43.jpg
Guru,"AngularJS, NodeJS, PHP, ASP.NET, C#",Jalpesh Rajani,"$25/hr   ·   Starting at $1,500",https://www.guru.com/service/angularjs-nodejs-php-aspnet-c/india/gujarat/ahmedabad/4190505,image2/service_44.jpg
Guru,DevOps Engineering,Heindrick Dumdum,$40/hr   ·   Starting at $30,https://www.guru.com/service/devops-engineering/philippines/central-visayas/cebu-city/5091983,image2/service_45.jpg
Guru,Web Development,Genesis Solutions,$40/hr   ·   Starting at $300,https://www.guru.com/service/web-development/united-states/north-carolina/belmont/5367610,image2/service_46.jpg
Guru,Web Development,Eduard Karpovets,$20/hr   ·   Starting at $25,https://www.guru.com/service/web-development/ukraine/rivnenska-oblast/bohdashiv/5503635,image2/service_47.jpg
Guru,Project Manager - proyectos e-commerce,sergio compte perez,"$32/hr   ·   Starting at $1,000",https://www.guru.com/service/project-manager-proyectos-e-commerce/panama/panama/panama-city/5565633,image2/service_48.jpg
Guru,Hire .NET Developers with 18+ Year Exp.,iQlance Solutions LLC,$14/hr   ·   Starting at $25,https://www.guru.com/service/hire-net-developers-with-18-year-exp/canada/ontario/toronto/5056376,image2/service_49.jpg
Guru,General Virtual Assistant,Kaye Balud,$10/hr   ·   Starting at $700,https://www.guru.com/service/general-virtual-assistant/philippines/davao-del-sur/davao-city/5076148,image2/service_50.jpg
Guru,Custom Software Development,Toltecs I.T. LTD & Carloma,"$500/hr   ·   Starting at $3,000",https://www.guru.com/service/custom-software-development/united-kingdom/england/birmingham/5511708,image2/service_51.jpg
Guru,.NET CORE | ASP.NET | ASP.NET MVC,Aviasole Technologies,$18/hr   ·   Starting at $500,https://www.guru.com/service/net-core-aspnet-aspnet-mvc/india/gujarat/vadodara/1714035,image2/service_52.jpg
Guru,Hire MERN Developers,Infomaze Web & Mobile Apps,"$20/hr   ·   Starting at $1,000",https://www.guru.com/service/hire-mern-developers/india/karnataka/mysuru/4995575,image2/service_53.jpg
Guru,Professional Freelancer,Bintang Purwanda,$10/hr   ·   Starting at $25,https://www.guru.com/service/professional-freelancer/indonesia/west-java/depok/3504758,image2/service_54.jpg
Guru,Software Development,FIELD ENGINEERING,"$500/hr   ·   Starting at $5,000",https://www.guru.com/service/software-development/united-kingdom/city-of-london/london/5412756,image2/service_55.jpg
Guru,Image Treatment,Christiane Carvalho Catarino,$30/hr   ·   Starting at $30,https://www.guru.com/service/image-treatment/brazil/rio-grande-do-sul/porto-alegre/5480695,image2/service_56.jpg
Guru,Experienced Full Stack Developer,Senior Full Stack Developer - Duc,$80/hr   ·   Starting at $100,https://www.guru.com/service/experienced-full-stack-developer/united-states/arizona/chandler/4852826,image2/service_57.jpg
Guru,Senior Web Developer,Andriy Taran,"$60/hr   ·   Starting at $5,000",https://www.guru.com/service/senior-web-developer/united-states/new-york/poughkeepsie/4764270,image2/service_58.jpg
Guru,JAVA Web & Enterprise App Services,Colan Infotech (P) LTD,"$20/hr   ·   Starting at $2,500",https://www.guru.com/service/java-web-enterprise-app-services/india/tamil-nadu/chennai/3741510,image2/service_59.jpg
Guru,Video Editing,Zunaira Ashfaq,$30/hr   ·   Starting at $30,https://www.guru.com/service/video-editing/pakistan/islamabad/islamabad/4176765,image2/service_60.jpg
Guru,Automation as a Service,Aquarious Technology,"$28/hr   ·   Starting at $2,500",https://www.guru.com/service/automation-as-a-service/india/west-bengal/kolkata/5621697,image2/service_61.jpg
Guru,"Virtual Assistant, Admin Tasks",Rachel Sevilla,$5/hr   ·   Starting at $25,https://www.guru.com/service/virtual-assistant-admin-tasks/philippines/central-luzon/pandi/5310586,image2/service_62.jpg
Guru,SEO specialist,FabrizioTraversa,$10/hr   ·   Starting at $500,https://www.guru.com/service/seo-specialist/italy/puglia/bari/5123390,image2/service_63.jpg
Guru,WordPress website Developer,Shahid Solutions,$5/hr   ·   Starting at $25,https://www.guru.com/service/wordpress-website-developer/pakistan/punjab/bhakkar/5405758,image2/service_64.jpg
Guru,Web App Development,$mart Dev,"$30/hr   ·   Starting at $1,000",https://www.guru.com/service/web-app-development/serbia/serbia/aktobe/5333963,image2/service_65.jpg
Guru,Website Design & Development -PHP | .NET,Brain Technosys® TOP PROVIDER 100%,$15/hr   ·   Starting at $500,https://www.guru.com/service/website-design-development-php-net/india/uttar-pradesh/noida/4231,image2/service_66.jpg
Guru,Website Development,Kamil Luis Maria Ponce,$45/hr   ·   Starting at $100,https://www.guru.com/service/website-development/argentina/entre-rios/gualeguaychu/5556008,image2/service_67.jpg
Guru,SEM - Facebook Ads / Instagram Ads / Lin,JasleenItan,$50/hr   ·   Starting at $500,https://www.guru.com/service/sem---facebook-ads-instagram-ads-lin/india/punjab/mohali/5185953,image2/service_68.jpg
Guru,Researcher,Fekede Kumsa,"$25/hr   ·   Starting at $5,000",https://www.guru.com/service/researcher/australia/new-south-wales/sydney/5518240,image2/service_69.jpg
Guru,Mobile and Web Application Development,Rajan Pandey- Top Web Developer,"$15/hr   ·   Starting at $1,000",https://www.guru.com/service/mobile-and-web-application-development/india/maharashtra/mumbai/5586297,image2/service_70.jpg
Guru,Web application developer,Mahendra Puvvala,$8/hr   ·   Starting at $25,https://www.guru.com/service/web-application-developer/india/andhra-pradesh/visakhapatnam/3878560,image2/service_71.jpg
Guru,AI and Machine Learning,Golden Truth AI,"$75/hr   ·   Starting at $1,000",https://www.guru.com/service/ai-and-machine-learning/netherlands/north-brabant/veldhoven/5101140,image2/service_72.jpg
Guru,Paralegal Experienced in Florida,Nathalie Z.,$32/hr   ·   Starting at $30,https://www.guru.com/service/paralegal-experienced-in-florida/spain/andalucia/sevilla/5502098,image2/service_73.jpg
Guru,Custom WordPress Development | WP Plugin,Reaver Technologies,$16/hr   ·   Starting at $100,https://www.guru.com/service/custom-wordpress-development-wp-plugin/pakistan/sindh/karachi/5646797,image2/service_74.jpg
Guru,SEO - Search Engine Optimization,Sean Rowan (Top 1% freelancer),$29/hr   ·   Starting at $150,https://www.guru.com/service/seo-search-engine-optimization/new-zealand/wellington/mount-cook/4738404,image2/service_75.jpg
Guru,Senior Software Engineer,Devendra0Verma,$15/hr   ·   Starting at $300,https://www.guru.com/service/senior-software-engineer/india/uttar-pradesh/bahadurganj/5411042,image2/service_76.jpg
Guru,HTML5,Sarah P.,$20/hr   ·   Starting at $25,https://www.guru.com/service/html5/canada/ontario/toronto/3669803,image2/service_77.jpg
Guru,Senior Ruby on Rails Developer,Hugo Bauer,$50/hr   ·   Starting at $200,https://www.guru.com/service/senior-ruby-on-rails-developer/germany/hessen/frankfurt-am-main/4030062,image2/service_78.jpg
Guru,illustration logo design,Pioneers Tech,$5/hr   ·   Starting at $30,https://www.guru.com/service/illustration-logo-design/pakistan/punjab/lahore/5398733,image2/service_79.jpg
Guru,Website Design and Development,Instant Solutions Lab,"$30/hr   ·   Starting at $1,000",https://www.guru.com/service/website-design-and-development/united-states/florida/pembroke-pines/3922063,image2/service_80.jpg
Guru,"SEO, SEM and Wordpress",Technical SEO & SEM Professional,$20/hr   ·   Starting at $500,https://www.guru.com/service/seo-sem-and-wordpress/india/punjab/ludhiana/565849,image2/service_81.jpg
Guru,Graphics&Engine Development,Baris Uckardes,$50/hr   ·   Starting at $250,https://www.guru.com/service/graphicsengine-development/turkey/izmir/bornova/5454892,image2/service_82.jpg
Guru,ITSM & Atlassian Specialist,Juan Sebastian Quintero,$35/hr   ·   Starting at $35,https://www.guru.com/service/itsm-atlassian-specialist/colombia/cundinamarca/bogota/5585544,image2/service_83.jpg
Guru,"Senior FullStack Developer(ASP.NET, PHP)",Norbert Herman,$40/hr   ·   Starting at $500,https://www.guru.com/service/senior-fullstack-developeraspnet-php/romania/timis/timisoara/4349288,image2/service_83.jpg
Guru,Mobile and Web Application Development,Damir Adrović,$30/hr   ·   Starting at $30,https://www.guru.com/service/mobile-and-web-application-development/bosnia-and-herzegovina/federation-of-bosnia-and-herzegovina/srebrenik/4624341,image2/service_84.jpg
Guru,Graphic Design | DTP Layout,DesignColour,$55/hr   ·   Starting at $55,https://www.guru.com/service/graphic-design-dtp-layout/croatia/grad-zagreb/zagreb/3666100,image2/service_84.jpg
Guru,PHP Development Services,Doyenhub Software Solution Pvt Ltd,$18/hr   ·   Starting at $500,https://www.guru.com/service/php-development-services/india/gujarat/surat/3918833,image2/service_85.jpg
Guru,Administrative Support/ Social Media Mng,Christina Hazel Morales,$14/hr   ·   Starting at $50,https://www.guru.com/service/administrative-support-social-media-mng/el-salvador/santa-ana/santa-ana/4167016,image2/service_86.jpg
Guru,Software Development,Gleammore,$60/hr   ·   Starting at $500,https://www.guru.com/service/software-development/united-states/new-york/buffalo/5436878,image2/service_87.jpg
Guru,Full Stack Web Development,Passion Dev,"$50/hr   ·   Starting at $7,000",https://www.guru.com/service/full-stack-web-development/china/liaoning/dandong/3908638,image2/service_88.jpg
Guru,Millionaire Company SEO/SEM/PPC Expert,Kazi Jakaria,$14/hr   ·   Starting at $25,https://www.guru.com/service/millionaire-company-seosemppc-expert/united-arab-emirates/dubai/dubai/2656382,image2/service_89.jpg
Guru,Amazon PPC/SEO - Boost Sales/Visibility,DexDel,$15/hr   ·   Starting at $300,https://www.guru.com/service/amazon-ppcseo-boost-salesvisibility/united-states/california/newark/5374116,image2/service_90.jpg
Guru,Custom Web/JS development,SfArt,"$29/hr   ·   Starting at $2,500",https://www.guru.com/service/custom-webjs-development/united-states/new-jersey/holmdel/5520581,image2/service_91.jpg
Guru,Power System Simulation PSCAD/PSSE,Mohaned Kamal,"$10/hr   ·   Starting at $1,000",https://www.guru.com/service/power-system-simulation-pscadpsse/united-arab-emirates/dubai/dubai/5476619,image2/service_92.jpg
Guru,Data Entry,Lookbeo Technologies,$8/hr   ·   Starting at $25,https://www.guru.com/service/data-entry/india/kerala/thiruvananthapuram/1144,image2/service_93.jpg
Guru,Full Stack Windows Development,Shailesh Mer,$30/hr   ·   Starting at $400,https://www.guru.com/service/full-stack-windows-development/india/gujarat/jetpur-navagadh/3531137,image2/service_94.jpg
Guru,Mechanical Design - Solidoworks,nipul solanki,$15/hr   ·   Starting at $25,https://www.guru.com/service/mechanical-design---solidoworks/india/gujarat/ahmedabad/4514256,image2/service_95.jpg
Guru,Sr. Software Engineer (Full-Time),fenilgandhi,"$20/hr   ·   Starting at $2,000",https://www.guru.com/service/sr-software-engineer-full-time/india/gujarat/surat/4779301,image2/service_96.jpg
Guru,Microsoft Access / SQL Server,JEFFREY R SMOOTS,$60/hr   ·   Starting at $120,https://www.guru.com/service/microsoft-access-sql-server/united-states/washington/everett/4222330,image2/service_97.jpg
Guru,"Motion Graphics, E-learning, Animation",Blue Creazione,$20/hr   ·   Starting at $500,https://www.guru.com/service/motion-graphics-e-learning-animation/india/maharashtra/pune/4049887,image2/service_98.jpg
Guru,Web Searching & Data Management,Top Most Services,$5/hr   ·   Starting at $25,https://www.guru.com/service/web-searching-data-management/india/delhi/new-delhi/45454,image2/service_99.jpg
Guru,Experienced Virtual Assistant for Admin,Jenifer Giron,$5/hr   ·   Starting at $25,https://www.guru.com/service/experienced-virtual-assistant-for-admin/el-salvador/la-libertad/san-juan-opico/5407433,image2/service_100.jpg
Guru,Web Development,Zheng.Wei,"$60/hr   ·   Starting at $2,500",https://www.guru.com/service/web-development/china/liaoning/dalian/3912557,image2/service_101.jpg
Guru,Web development,lfalera,$15/hr   ·   Starting at $25,https://www.guru.com/service/web-development/peru/lima/lima/5348464,image2/service_102.jpg
Guru,Software development.,Agoo Clinton,$25/hr   ·   Starting at $500,https://www.guru.com/service/software-development/kenya/nyanza/ahero/4281342,image2/service_103.jpg
Guru,Electrical Designing (Autocad/Revit),AmmarAmjad,$15/hr   ·   Starting at $50,https://www.guru.com/service/electrical-designing-autocadrevit/pakistan/punjab/lahore/4596466,image2/service_104.jpg
Guru,Comic Book Artist,Nicolas Colacitti,$20/hr   ·   Starting at $25,https://www.guru.com/service/comic-book-artist/argentina/buenos-aires/mar-del-plata/3841249,image2/service_105.jpg
Guru,Web design and development,Avion-Technology-Inc-Chicago,$15/hr   ·   Starting at $25,https://www.guru.com/service/web-design-and-development/united-states/illinois/schaumburg/3707620,image2/service_106.jpg
Guru,Full Stack Web Development,Anil Tiwari ( Full stack developer),$25/hr   ·   Starting at $500,https://www.guru.com/service/full-stack-web-development/india/madhya-pradesh/indore/5590544,image2/service_107.jpg
Guru,SEO & Backlink Building Expert,TechNomad,$10/hr   ·   Starting at $30,https://www.guru.com/service/seo-backlink-building-expert/pakistan/sindh/karachi/5586345,image2/service_107.jpg
Guru,Network and System Administration,Shaukat Ali 74,$20/hr   ·   Starting at $50,https://www.guru.com/service/network-and-system-administration/pakistan/punjab/sheikhupura/4537039,image2/service_108.jpg
Guru,Next.js Full Stack Development,Ruyun Li,$30/hr   ·   Starting at $30,https://www.guru.com/service/nextjs-full-stack-development/china/jilin/hunchun/5256193,image2/service_109.jpg
Guru,"forex program, IOS game program",waterwood en,$60/hr   ·   Starting at $25,https://www.guru.com/service/forex-program-ios-game-program/australia/victoria/north-melbourne/3759753,image2/service_110.jpg
Guru,Mobile app development,Viktor Golovko,"$35/hr   ·   Starting at $3,000",https://www.guru.com/service/mobile-app-development/ukraine/poltavska-oblast/kremenchug/5629537,image2/service_111.jpg
Guru,"Python, Laravel, VueJS, Node",Activecraft IT Solutions,$12/hr   ·   Starting at $500,https://www.guru.com/service/python-laravel-vuejs-node/india/punjab/mohali/4618321,image2/service_112.jpg
Guru,Property Management Support,Matty Francis,$14/hr   ·   Starting at $25,https://www.guru.com/service/property-management-support/philippines/central-luzon/porac/5606579,image2/service_113.jpg
Guru,Back-End Web Development,Felix Lisso 1,$40/hr   ·   Starting at $200,https://www.guru.com/service/back-end-web-development/kenya/coast/kilifi/5403438,image2/service_113.jpg
Guru,Website Design & Development,Minerva Infotech Web & Design GURU,$25/hr   ·   Starting at $25,https://www.guru.com/service/website-design-development/india/west-bengal/kolkata/5014720,image2/service_114.jpg
Guru,Work at UTHSC,Dan McGuire 1,"$15/hr   ·   Starting at $1,000",https://www.guru.com/service/work-at-uthsc/united-states/tennessee/nashville/5511727,image2/service_115.jpg
Guru,Microsoft Windows Server,Shahid Iqbal 1979,$25/hr   ·   Starting at $50,https://www.guru.com/service/microsoft-windows-server/pakistan/punjab/rawalpindi/4992797,image2/service_116.jpg
Guru,Facebook & Instagram Ads Management,Atif Khawaja,$15/hr   ·   Starting at $100,https://www.guru.com/service/facebook-instagram-ads-management/pakistan/punjab/multan/4945527,image2/service_117.jpg
Guru,Full Stack Software Development,Daniel Perez Herrera,$95/hr   ·   Starting at $950,https://www.guru.com/service/full-stack-software-development/united-states/florida/virginia-gardens/5638588,image2/service_118.jpg
Guru,Experienced iOS Developer (Swift),Oleh Hrechyn,$40/hr   ·   Starting at $200,https://www.guru.com/service/experienced-ios-developer-swift/ukraine/kyyivska-oblast/kyiv/5363553,image2/service_119.jpg
Guru,Mobile Application Development,Krishna Innovative Software Pvt Lt.,$14/hr   ·   Starting at $500,https://www.guru.com/service/mobile-application-development/india/punjab/sahibzada-ajit-singh-nagar/5413846,image2/service_120.jpg
Guru,User Experience Design (UI/UX Design),OffRoadStudios,$30/hr   ·   Starting at $700,https://www.guru.com/service/user-experience-design-uiux-design/united-states/new-jersey/pennington/5132749,image2/service_120.jpg
Guru,Sales Representative,Erda Gjishti,"$15/hr   ·   Starting at $2,500",https://www.guru.com/service/sales-representative/albania/tirane/tirane/5613379,image2/service_121.jpg
Guru,"Writer, Virtual Assistant,",Hanna Johnstone,$15/hr   ·   Starting at $50,https://www.guru.com/service/writer-virtual-assistant/philippines/zambales/subic/4970483,image2/service_122.jpg
Guru,Website and Web App Development,F10 Software Solutions,$25/hr   ·   Starting at $500,https://www.guru.com/service/website-and-web-app-development/united-kingdom/england/london/5424126,image2/service_123.jpg
Guru,Web Development,Leonel Laplacette,$30/hr   ·   Starting at $50,https://www.guru.com/service/web-development/argentina/entre-rios/gualeguaych/5576188,image2/service_124.jpg
Guru,AI (that actually works),Proven AI (Top Rated),$55/hr   ·   Starting at $250,https://www.guru.com/service/ai-that-actually-works/united-states/california/stanford/5649697,image2/service_125.jpg
Guru,Angular / React.js / Vue.js Application,Dmytro Liakhovych,"$40/hr   ·   Starting at $1,000",https://www.guru.com/service/angular-reactjs-vuejs-application/ukraine/kiev/kyiv/5416364,image2/service_125.jpg
Guru,Integration Development,SriniY,$45/hr   ·   Starting at $100,https://www.guru.com/service/integration-development/india/telangana/hyderabad/5520669,image2/service_126.jpg
Guru,Transcription & Annotation,AKY Team,$60/hr   ·   Starting at $60,https://www.guru.com/service/transcription-annotation/egypt/al-qahirah/cairo/5087969,image2/service_127.jpg
Guru,Data Entry,sachinscs,$8/hr   ·   Starting at $25,https://www.guru.com/service/data-entry/india/uttar-pradesh/noida/6553,image2/service_128.jpg
Guru,WordPress Theme Implementation,Baljeet K,$10/hr   ·   Starting at $200,https://www.guru.com/service/wordpress-theme-implementation/india/punjab/sahibzada-ajit-singh-nagar/3565652,image2/service_129.jpg
Guru,Branding | Website | Social Media,Colorgraphicz,$10/hr   ·   Starting at $35,https://www.guru.com/service/branding-website-social-media/india/west-bengal/kolkata/5650747,image2/service_130.jpg
Guru,IT Professional Admin Support Service,Vimal G,$8/hr   ·   Starting at $25,https://www.guru.com/service/it-professional-admin-support-service/india/madhya-pradesh/indore/3541390,image2/service_131.jpg
Guru,E-Commerce order processing,ANTONY.MAKAU,$8/hr   ·   Starting at $25,https://www.guru.com/service/e-commerce-order-processing/kenya/nairobi/nairobi/5280621,image2/service_132.jpg
Guru,Marketing Management,Rui Pedro Ferreira Gomes,$9/hr   ·   Starting at $49,https://www.guru.com/service/marketing-management/portugal/coimbra/cantanhede/5433913,image2/service_133.jpg
Guru,Programming,Anvaya Technologies,$15/hr   ·   Starting at $200,https://www.guru.com/service/programming/india/maharashtra/nagpur/4078,image2/service_134.jpg
Guru,"Specialized in 3D Design,Rendering,CAD.",Kevin S. Canas,$12/hr   ·   Starting at $25,https://www.guru.com/service/specialized-in-3d-design-rendering-cad./spain/catalonia/barcelona/4219401,image2/service_135.jpg
Guru,Software Development Services,Global Apps Logic,$35/hr   ·   Starting at $350,https://www.guru.com/service/software-development-services/united-states/california/sacramento/4027863,image2/service_136.jpg
Guru,Background Removal from Images,Noman J,$10/hr   ·   Starting at $25,https://www.guru.com/service/background-removal-from-images/pakistan/punjab/lahore/4866706,image2/service_137.jpg
Guru,Microsoft Excel & VBA Macros,vaqas,$10/hr   ·   Starting at $25,https://www.guru.com/service/microsoft-excel-vba-macros/pakistan/sindh/karachi/4603442,image2/service_138.jpg
Guru,HOUSE DESIGN.,Architect Germán Andrés.,$25/hr   ·   Starting at $300,https://www.guru.com/service/house-design/colombia/cundinamarca/bogota/4345108,image2/service_139.jpg
Guru,Full Stack Software Development,Benjamin Cherry - devcarbon,$70/hr   ·   Starting at $500,https://www.guru.com/service/full-stack-software-development/united-states/alaska/wasilla/5131031,image2/service_140.jpg
Guru,DevOps Engineer,Charlesmar Zatta Junior,$12/hr   ·   Starting at $240,https://www.guru.com/service/devops-engineer/brazil/parana/pato-branco/5390047,image2/service_141.jpg
Guru,Seasoned Customer Service Representative,Edward Ross Sausa,$6/hr   ·   Starting at $25,https://www.guru.com/service/seasoned-customer-service-representative/philippines/northern-mindanao/manolo-fortich-bukidnon/5600789,image2/service_142.jpg
